filename,page_number,chunk_number,chunk
RAG MEETS LLMS.pdf,59,5,chitecture of RA-LLMs and Main ModulesSlides
RAG MEETS LLMS.pdf,60,1,60 Retrieval Generation Pre-retriev
RAG MEETS LLMS.pdf,60,2,al processPost-retrieval processInt
RAG MEETS LLMS.pdf,60,3,egration”Which country won the Wome
RAG MEETS LLMS.pdf,60,4,n’s World Cup 2023””Spain” Beyond S
RAG MEETS LLMS.pdf,60,5,tandard Pipelines and Components? More?
RAG MEETS LLMS.pdf,61,1,"Special RAG Pipeline: Self-Reflective RAG (SELF-RAG) AsaiA, et al."
RAG MEETS LLMS.pdf,61,2,"2023. “Self-rag: Learning to retrieve, generate, and critique thro"
RAG MEETS LLMS.pdf,61,3,ugh self-reflection”Input Retrieval Retrieved result integrationGe
RAG MEETS LLMS.pdf,61,4,neration Retrieval-enhanced generation results are not necessarily
RAG MEETS LLMS.pdf,61,5, useful or helpful !qGeneral Retrieval-Augmented Generation (RAG) 61
RAG MEETS LLMS.pdf,62,1,SELF
RAG MEETS LLMS.pdf,62,2,-RAG
RAG MEETS LLMS.pdf,62,3, Ove
RAG MEETS LLMS.pdf,62,4,rvie
RAG MEETS LLMS.pdf,62,5,w 62
RAG MEETS LLMS.pdf,63,1,Key Technical Design 
RAG MEETS LLMS.pdf,63,2,in SELF-RAG qCritic M
RAG MEETS LLMS.pdf,63,3,odel TrainingqFour ty
RAG MEETS LLMS.pdf,63,4,pes of reflection tok
RAG MEETS LLMS.pdf,63,5,ens used in SELF-RAG 63
RAG MEETS LLMS.pdf,64,1,SELF
RAG MEETS LLMS.pdf,64,2,-RAG
RAG MEETS LLMS.pdf,64,3, Alg
RAG MEETS LLMS.pdf,64,4,orit
RAG MEETS LLMS.pdf,64,5,hm 64
RAG MEETS LLMS.pdf,65,1,"Special RAG Pipeline: Recursively Answer Zhou, et al.2023. “Least-to-most prompting enables co"
RAG MEETS LLMS.pdf,65,2,"mplex reasoning in large language models”Trivedi, et al. 2023. “Interleaving retrieval with ch"
RAG MEETS LLMS.pdf,65,3,ain-of-thought reasoning for knowledge-intensive multi-step questions”qChain-of-Thought + RAGv
RAG MEETS LLMS.pdf,65,4,One-step retrieve-and-read approach is insufficient for multi-step QAvWhat to retrieve depends
RAG MEETS LLMS.pdf,65,5," on what has already been derived, which in tern may depend on what was previously retrieved 65"
RAG MEETS LLMS.pdf,66,1,Interleaved Retrieval guided by Chai
RAG MEETS LLMS.pdf,66,2,"n-of-Thought (IRCoT) Trivedi, et al."
RAG MEETS LLMS.pdf,66,3, 2023. “Interleaving retrieval with 
RAG MEETS LLMS.pdf,66,4,chain-of-thought reasoning for knowl
RAG MEETS LLMS.pdf,66,5,edge-intensive multi-step questions” 66
RAG MEETS LLMS.pdf,67,1,One-time Retr
RAG MEETS LLMS.pdf,67,2,ievalIRCoTPer
RAG MEETS LLMS.pdf,67,3,formanceqQA T
RAG MEETS LLMS.pdf,67,4,askWithout Re
RAG MEETS LLMS.pdf,67,5,trievalIRCoT 67
RAG MEETS LLMS.pdf,68,1,¤Part 1: Introduction of Retrieval Augmented Large Language Models (RA-LLMs) (Dr.
RAG MEETS LLMS.pdf,68,2, WenqiFan)¤Part 2: Architecture of RA-LLMs and Main Modules (Dr. YujuanDing)¤Part
RAG MEETS LLMS.pdf,68,3, 3: Learning Approach of RA-LLMs (LiangboNing)¡Part 4: Applications ofRA-LLMs (Sh
RAG MEETS LLMS.pdf,68,4,ijieWang)¡Part 5: Challenges and Future Directions of RA-LLMs (Dr. WenqiFan)Websi
RAG MEETS LLMS.pdf,68,5,te of this tutorial Check out the slides and more information!69 Tutorial Outline
